LEBLON,23.803637123134045
IPANEMA,21.347068768520252
ARPOADOR,20.33876050420168
GAVEA,16.61041173491682
LAGOA,16.36254252841848
JD BOTANICO,15.936466296857363
S CONRADO,14.715197005239865
LEME,12.754003436433656
URCA,12.502110573205593
COPACABANA,12.478003901959791
HUMAITA,12.291495286990418
BOTAFOGO,11.656563758046694
FLAMENGO,11.073455052138183
COSME VELHO,10.370370370370368
CATETE,10.354215097493327
LARANJEIRAS,10.223803646890664
LAPA,9.693000647839781
BARRA DA TIJUCA,9.559154597345408
GLORIA,9.222763018720366
JOA,9.21875
VIDIGAL,8.984761904761905
BARRA DE GUARATIBA,8.063157894736843
CENTRO,7.961162420178585
STA TERESA,7.581915306392861
FATIMA,7.166666666666667
JD CARIOCA,7.0
TIJUCA,6.98901908675841
RECREIO DOS BANDEIRANTES,6.850464553794893
